genhits,HATZFS,HWVoteRank,IDME,imaxdriver,NIBNA,Pagerank,RDDriver,LPDriver
ARHGEF16,KLK6,hsa-miR-128-1-5p,ZSCAN4,PRR15,PHOSPHO1,HLA-DRA,CLPSL1,LGALS4
RP11-128B16.3,FEZF1,hsa-miR-3920,CORO2A,RGS20,AC145110.1,OR6S1,HSF5,ZNF729
AKR1B10,UGT2B11,CNTNAP5,IL36B,SEC14L3,ISX,hsa-miR-552-3p,APOC2,MLPH
LINC00311,MAGEA4,hsa-miR-144-3p,LEFTY2,SLCO1B7,DCAF12L1,PIGR,CLPS,RAET1L
hsa-miR-6810-3p,CSMD2,RP11-64B16.4,KIR2DL3,PPL,AGR2,RP11-832A4.7,NEU4,HIST3H2A
SH3GL2,IL36RN,hsa-miR-6803-3p,RTP5,LGR6,RP11-218E20.3,FUT7,CKMT1B,LPPR3
SLC9A3,EMX1,RP11-12J10.3,RDH12,UPK1A,KRT222,hsa-miR-26b-5p,PLCG2,NR0B1
AC079613.1,APOBEC1,HRH3,IL34,CLVS2,hsa-miR-139-3p,hsa-miR-7-5p,MYRFL,ZBBX
RP11-742B18.1,LRRIQ4,IL6,TMC8,MAS1L,RIMS2,INA,VWA5B2,AC002511.3
OTOGL,LYL1,AC021188.4,RP11-356N1.2,ANO7,MMEL1,RP11-680F20.9,CALHM3,PHLDA2
CST4,TMEM257,RP11-297C4.2,RIMBP2,LIPH,CD180,JPH1,ITGA4,NKX1-2
HPGD,ZNF727P,LINC00595,PAEP,SIX2,PRSS21,CES3,ZNF695,RP11-277P12.20
RP11-272B17.2,DES,SLC7A14,DUSP9,NUP62CL,CDHR5,RP11-412H8.2,SRMS,TREM2
VWA5B2,C1QL1,AP000295.9,FAM156B,TMEM61,CTA-363E6.2,MMP1,SULT4A1,SOWAHD
CTD-2354A18.1,SLC6A19,C1QL4,CRABP1,MAL2,RP11-20G13.1,KIR3DL1,KCNK16,hsa-miR-450a-1-3p
LINC01470,VSTM2A,RP11-321N4.5,CHRNA9,KRTDAP,GIMAP1,LINC01180,P2RY12,TAGAP
SOX21-AS1,KISS1,ARMC3,PDE4C,RAB27B,hsa-miR-124-3p,CHI3L2,SLC6A19,SLCO1B7
MARCO,C6orf58,hsa-miR-539-3p,hsa-miR-503-3p,C11orf44,PRIMA1,CNTNAP5,RP11-20J15.5,RGS20
EMX1,LRRC26,APLN,CADM3-AS1,UNC13C,RP11-390F4.6,RP11-132N15.3,ARMC3,RP11-374F3.5
TPX2,MAGEA6,C2orf54,GNG4,B3GNT6,RP11-121A8.1,DES,KRTAP4-1,GLRA2
COLGALT2,KCNJ10,AGXT,TOX3,TMEM253,FOXH1,ENTPD8,MEGF10,CXCR2
APOE,DDC,LINC00051,hsa-miR-766-3p,PRR35,BCL11A,MET,CDHR1,UNC45B
VAT1L,TINAG,RP13-379O24.2,MELK,SLC2A1,DIAPH2-AS1,RP11-764K9.1,SIGLEC7,LY6D
RBP3,MUC21,CCR7,PADI6,TNNC2,MYOCD,MYBPC2,HIST1H4I,NXPE4
SPATA13,PPP1R14D,hsa-miR-133a-3p,CTD-3064H18.4,DEPDC1B,CTD-2619J13.13,AMY1B,CHGA,LINGO3
IL31RA,GATA5,hsa-miR-33a-5p,PTPRO,HIST3H2A,BPIFB2,LINC00669,ZNF578,KCP
AC009950.2,CDH12,SPI1,GPR182,CGA,hsa-miR-140-5p,AANAT,HOXA10,PNLIP
RP11-574F11.3,CD68,RP11-685G9.2,SYT10,CDC25C,EIF2S3L,APOA4,MT4,SHISA9
LINC00443,IGFL1,DSCAM,GUCA1C,CTD-2105E13.6,MEF2C,ADRA1D,OASL,LIPK
MYO16-AS1,PNCK,FAM187B,hsa-miR-146a-5p,HCN1,SLC6A18,EVL,GPR17,RP11-304L19.4
hsa-miR-155-3p,RP11-35N6.1,CERS1,PHGR1,SMIM6,CNBD1,FXYD4,C17orf78,CARTPT
OR6K3,PLIN2,SCN10A,hsa-miR-1269a,AIM1L,COL6A6,GRIA3,GPRC5A,C4orf26
hsa-miR-140-5p,CRYAB,NUGGC,hsa-miR-335-5p,TRPM5,LUZP2,ZNF831,ZNF730,NPHP3-AS1
ANK1,NMU,P2RY12,PLIN2,HIST1H3D,NUP62CL,CDH12,GSTA1,KLK12
hsa-miR-891b,TMEM213,hsa-miR-891a-5p,NAPRT,RBP2,SLC47A1,MNDA,IL13RA2,VSIG2
PDCD1,WISP3,TNFSF8,AC013271.3,PPP1R1C,HOXC13,CSNK1A1L,APOBEC4,KRT13
CRYBB1,BRS3,GPRC5A,RP11-629G13.1,FAM132A,POPDC3,EIF2S3L,BTBD11,ALOX12B
RP11-503C24.6,ZNF578,TYROBP,TBX4,RSPO4,GFRA3,TACR2,RCSD1,UBXN10
hsa-miR-155-5p,BTN1A1,RP11-147L13.8,hsa-miR-146a-3p,ULBP2,DES,ATG16L2,HPGD,CYP2S1
hsa-miR-139-3p,DSG3,G6PC,GPR179,LPCAT4,EOMES,HRH3,AP006285.3,hsa-miR-670-3p
MMP7,SLC30A2,HIST1H2BD,SLC39A2,SLC22A9,CPS1,RP5-907C10.3,CYP3A5,SMIM21
RP1-76B20.11,ALG1L,PPBP,CTNNA2,GPHA2,RLTPR,C4BPB,FXYD4,SPINK13
RP11-65J3.3,TXK,HMP19,FOXA3,LRRTM3,RP11-126O1.6,BAIAP3,LIPE,HIST3H2BB
hsa-let-7g-3p,CD53,ADRA1D,GRM8,C19orf81,RP11-106M7.1,GPR34,ALB,RPRML
TUBAL3,FER1L6,EGOT,PNMT,C17orf77,RP11-1080G15.1,DTHD1,KCNAB2,AGR2
RP5-1071N3.1,SPN,ZNF154,YPEL1,FBN3,RP11-131H24.4,UGT2B4,TMEM114,MAGEA6
RP11-268G13.1,NPY1R,RP11-574F11.3,ANXA2R,CHRNA3,RP11-543H23.1,A2ML1,DLX2,LRRC53
AC067945.4,ITGAX,SFN,GNGT2,EDN3,XCL2,TMEM253,GRM4,FLJ43879
AC007278.3,PPP1R17,SOST,WNT4,SYT10,DTHD1,FAM153C,KRT24,PLA2G2A
KCNA7,PPY,hsa-miR-4724-5p,MUC5AC,SMAGP,EXOC3L1,CLEC9A,EMR2,EDAR
CTD-2370N5.3,FUT7,KRTAP5-5,NPL,PRUNE2,UGT1A4,SOX21-AS1,RASAL3,MYOCD
TMEM253,HLA-DOB,TMEM132C,HAVCR1,CYP4A11,TRAPPC3L,hsa-miR-10b-5p,PRODH,EEF1A2
RP11-661A12.9,CAPN8,hsa-miR-450a-5p,RUNX3,CMA1,TUBB4A,SPTSSB,FPR3,HOXA11
hsa-miR-22-5p,SCML4,AC093642.3,MUCL1,MAPT,CABP7,MGC32805,PPP1R14D,SYNPR
hsa-miR-934,MAP3K8,MUC15,ANO7,MYT1L,CDH23,LAIR1,MYBPC2,MUC2
hsa-miR-6502-5p,UNC45B,hsa-miR-31-5p,GPIHBP1,NGEF,MMP24,RBP3,HAO1,SLAMF6
SLC6A8,PI3,ITIH5,HOXD13,ZP3,LINC00494,PDCD1,SLAMF6,RP11-119J18.1
NME8,ANXA8,hsa-miR-892a,CTD-2528A14.5,AP006285.3,RP11-96O20.2,RP11-234B24.2,CRTAC1,ARHGEF6
hsa-miR-1228-5p,FGR,TYRP1,PCK1,AGTR2,FAM153A,RP1-278O22.2,TFAP2B,ACE2
SIGLEC11,TRIM22,GRIA3,RP11-599B13.3,D4S234E,IDI2,SBK1,TNFAIP8L2,KRT72
hsa-miR-423-3p,LAMB3,CDH12,DLX6-AS1,ALX1,FGD3,KCNG4,C6orf223,HRG
ECT2,EVI2B,ICAM3,FAM159A,SPINK13,P2RY12,hsa-miR-375,SH3GL2,DHRS2
RP11-430H10.3,EPB42,hsa-miR-10b-5p,hsa-miR-31-5p,CYP2F1,RP11-285E9.6,AOAH,MFSD2A,KIF4A
RP11-115D19.1,CDH17,RP11-218E20.3,KIAA0226L,GPR1,ENTPD8,RP11-411K7.1,ANKRD33,LCN1
YBX2,LGALS12,RP11-863P13.4,VASH2,REEP2,ADAP1,HIST1H2AM,SCGB2A2,CCDC114
BTNL3,GPR119,KRT4,hsa-miR-192-5p,PKP3,CAPN8,SLC9A3,TLR8,RP11-402G3.5
LIPE,GTSF1L,hsa-miR-126-5p,SPTBN4,RNF103-CHMP3,ABI3,CHD5,CD1D,CD86
hsa-miR-605-5p,HAO1,PDCD1,CLEC6A,GPR98,PRDM12,PRUNE2,CTXN2,FGFBP2
CTD-2340D6.1,OR2AE1,AC090627.1,LINC01508,LUZP2,TMEM45B,EMR2,IL6,IFI30
MTUS2,TNFAIP3,KCNH6,IGF2BP1,A1CF,UGT1A6,RP11-742B18.1,HPR,CSAG1
RP11-58E21.5,LRRTM1,HIST1H4I,CFC1,LRRC9,LCP1,RP11-128B16.3,AADAC,TRIM31
hsa-miR-6815-5p,PTCRA,ITGAL,WT1,GCG,GMFG,VAMP1,MMP25,PRSS3
LINC01351,RFPL4A,INA,CHAT,ADAP1,RP11-410N8.3,C2orf54,FOLH1,LILRA4
AP001056.1,XXbac-BPG181M17.5,CNTNAP4,RAB25,SLC18A2,APOB,PNCK,CNR2,P2RY8
MNDA,CNTD2,COL6A6,MYO1G,ATP1A3,CTC-137K3.1,SPRR2A,NUGGC,CACNA1B
PRR15,C14orf180,LINC00858,hsa-miR-383-5p,ANK1,ARHGEF16,APOE,MUC15,TCL1A
SNCA-AS1,SLC9A2,hsa-miR-375,ZNF23,ECT2,RP11-794G24.1,HSD17B6,GABRG3,S100A2
CYBB,CRYBA2,RP4-550H1.4,AC012531.25,MS4A2,HS3ST6,RP11-713C5.1,P2RY10,hsa-miR-3613-5p
NR5A1,APOC1,RP11-326C3.14,PAX7,UNC5A,RP11-764K9.1,C6orf100,OTOP3,SPATA21
ZNF154,DSC3,hsa-miR-129-5p,hsa-miR-934,RASAL1,HVCN1,MMP7,UBE2U,MCEMP1
RP11-229P13.15,TCL1B,HOXC13-AS,RP11-643A5.3,SLC30A8,EGOT,AC004009.2,SIGLEC14,SLC6A18
CHRNB2,IGSF23,hsa-miR-1301-5p,RP11-1029J19.4,CCL24,KLK11,RIIAD1,CACNG6,TMEM190
BCL2L14,SEPT1,AC009950.2,SPRR1A,ADORA2B,RP11-386M24.3,hsa-miR-627-5p,TTBK1,CCL3
ZNF831,CCR1,ANKLE1,TOB1,UNC79,LL22NC03-75H12.2,CYP3A5,GAD1,MTRNR2L3
HVCN1,GPR174,hsa-miR-885-5p,ST6GALNAC1,CXCL17,DEFA6,LINC00311,MIA-RAB4B,LRRC25
hsa-miR-144-5p,LILRA6,CXorf65,RP1-283K11.2,GLRA3,NOL4,NTF4,C4BPB,NLRP13
BPIFB1,ZBBX,SELL,TLR10,HS6ST3,MFSD2A,TBATA,GPR55,MEX3A
hsa-miR-146a-3p,ANXA10,ZNF730,GFRA2,CDH10,PLEK,CXCR1,PRUNE2,B3GNT3
hsa-miR-18a-5p,LRRC55,hsa-miR-500a-3p,CD36,FOXM1,ZNF750,GMFG,ITGB2,GBP6
AC006129.1,RUFY4,hsa-miR-192-3p,DUSP27,GCK,CXCL17,RP11-814P5.1,NMU,GPR110
PAX7,C10orf105,PSG5,GDPD2,ZNF556,RP5-899E9.1,RP1-102K2.6,MLN,TULP2
OASL,SPACA4,C22orf34,FAIM3,UBXN10,RP4-547N15.3,LINC00987,FCGR3A,GPR17
hsa-miR-20b-5p,SNTG2,SHISA7,CALCA,CPE,TMEM52B,RP11-53B2.1,PCDH15,DES
LINC01091,LRCOL1,LIMD2,FOXM1,SLC18A1,AF127577.8,RP3-455J7.4,CDH23,TMPRSS15
MSR1,GIMAP7,TFF1,SOAT2,CEA,RP11-863H1.1,RP11-428K3.1,SFMBT2,APOBEC1
CLEC4E,HSPB8,RFPL4B,RP11-563N6.6,APOBEC4,SPRR2E,DEGS2,HOXC11,hsa-miR-539-3p
hsa-miR-486-5p,RP11-367G6.3,NR5A1,KLF1,PTGDR2,CTD-2105E13.6,RP11-180P8.1,NXPE4,CHRNE
LINC00528,CCL24,MYO16-AS1,RP11-229P13.19,POPDC3,FEZF1,TMEM105,UTS2,hsa-miR-203b-3p
hsa-miR-424-3p,GHRHR,P2RY10,FADS6,MAP7D2,C22orf34,RP5-1071N3.1,JAK3,CHRNA3
hsa-miR-223-5p,CSMD3,PYY,ZNF80,DAB1,ADCY8,OTOGL,MOGAT1,GRIA1
hsa-miR-4665-5p,hsa-miR-137,hsa-miR-6503-5p,TLR7,HIST1H4I,RTBDN,AKR1B10,P2RY13,SIGLEC9
RP11-405M12.4,KRTAP29-1,TRIM58,PP2672,MAP3K19,FABP4,MTNR1A,PRLR,IGSF1
LINC00954,GAD2,B4GALNT2,CEACAM21,MMEL1,ABCD2,TIGIT,TMEM229A,LTA
ZFPM2-AS1,COL11A2,MMP25,TRMT2B-AS1,NPFFR2,KRTAP1-1,RP11-685G9.2,CCDC42B,AMY1A
IL22,hsa-miR-181b-3p,hsa-miR-503-5p,GPSM3,GPR158,RBP7,RP11-227L6.1,ANXA8,GAD2
hsa-miR-3690,MS4A14,PHOSPHO1,TGM4,TGM3,VSTM2A,RP1-90G24.11,TNNC2,IL27
hsa-miR-545-5p,SPRR1B,DSG1,PNLIP,SMIM22,PMP2,RP11-527L4.2,SLC17A6,TCL1B
DDC,HBD,AC130469.1,MYO1F,TMIE,RP11-867G23.2,RP11-297C4.2,SHISA7,CYP2C9
hsa-miR-3653-5p,CFAP61,RP11-326C3.15,EPHX4,MFSD2A,KRT4,AC007278.3,GPR34,CELF3
TMEM61,ZNF486,PDLIM3,F5,GIPR,ERN2,TM4SF19-AS1,KCNH6,hsa-miR-1269b
hsa-miR-126-3p,IL13,GRIN2B,SSTR5,PPP1R1B,RP11-184M15.1,LINC01259,BCO1,SPRR1B
MIA-RAB4B,GLRA2,DDC,FAM189A1,SLC44A4,CTB-49A3.4,RP11-314M24.1,SMIM5,TRPM1
ANLN,CHP2,CDHR1,BCAS1,FBXL16,TMEM105,RP11-81H14.1,MNDA,MAP4K1
hsa-miR-205-5p,TRAPPC3L,HOXA10,GAL,APELA,RHCG,FAM26F,MTUS2,SCGB1A1
ANGPTL6,ABI3,CCL25,CBLN1,CDC6,PRAM1,CELA2B,SAPCD2,PSCA
S100A14,CARD9,MGC32805,ALPI,CYP3A5,DSG3,EOMES,DSG1,BEAN1
hsa-miR-887-3p,KRT2,SLFN14,SLC7A10,NTRK1,RP11-356J5.13,RP11-64B16.4,B4GALNT2,hsa-miR-542-5p
ENTPD8,TNFSF8,hsa-miR-6718-5p,CXCR5,GOLT1A,PCDH15,ITGB7,RP11-12J10.3,NKG2-E
TMEM40,FAM153A,CXCL17,CLIC3,MASP1,RP5-1091N2.9,IL1R2,RASL11B,OR2C3
GABRG3,HBA2,PTGDR2,HCN2,G6PC,CYP3A5,LLNLR-470E3.1,XAGE2B,CD68
hsa-miR-31-3p,PLA2G7,WNT3A,PDE7A,GPR35,L1CAM,CTD-2369P2.8,D4S234E,GBX1
CNTD2,TP73,COLGALT2,TMEM257,SLC22A17,ZC3H12D,NTRK1,HOXC13,SLC28A2
hsa-miR-335-5p,RGL4,TCEAL2,LIPN,TCEAL6,TRAF3IP3,SMIM6,HOXB13,AHNAK2
MUC2,PLCG2,RP11-1055B8.9,XXbac-BPG181M17.5,CCDC42B,TTLL6,AC090627.1,EVL,USH1G
LINC00111,CHRDL2,C17orf77,AC234582.1,SLCO4A1,IVL,CRYBB1,FAM101A,ABCA13
LINC01203,SMIM22,LINC01470,CRYBA2,ANKRD30A,GPR141,OR6K3,IKZF1,CHRM3-AS2
RP3-335N17.2,MEFV,ANO4,TRIM31,CHRNB2,PLCG2,MYO16-AS1,SERPINB4,THEMIS
hsa-miR-191-5p,STEAP2-AS1,TSPAN8,APOC1,L1CAM,RP11-73O6.3,GPR141,ACP5,PCDHB5
hsa-miR-16-2-3p,SMAP2,GABRA3,ZPBP2,BCO1,LINC00675,hsa-miR-1224-5p,C1orf162,CD1C
MLN,PSTPIP1,CACNA1C-AS2,WDR72,KLHL41,BACH2,ALS2CR12,LCNL1,MYADML2
hsa-miR-377-3p,CXCR2,ITLN2,L1TD1,HCN2,CLEC9A,RP11-410N8.3,PTGDR2,TBX4
hsa-miR-146b-5p,hsa-miR-130a-3p,PCDH8,CHODL,GP2,RNF144B,BPIFB1,TMEM132C,PTGDR
GRM7-AS3,SEL1L2,hsa-miR-129-2-3p,PCP4L1,CRYM,TMEM132B,ZBTB32,EIF4E1B,SLC26A9
hsa-miR-30e-5p,hsa-miR-194-5p,ZDHHC22,SHH,MAPK4,GJC2,HIST1H2BD,SMIM22,PCSK1
HRG,CD79A,RP11-107E5.3,HIST1H2AC,CFAP99,ARRDC5,C5orf38,FAM83A,TMEM132D
OVOL1,PTGDR,IL13RA2,PEG10,BEAN1,C19orf38,hsa-miR-192-5p,GIMAP7,ZNF831
CD247,AHSP,hsa-miR-181b-3p,UGT1A10,MYOC,CTXN2,RFPL4B,CPS1,LCE3D
FABP7,VAV3,ACSM5,WNT11,KLF5,ZBBX,PRSS3,SYNE3,WDFY4
RP11-32D16.1,GJC2,AC091801.1,GIMAP5,PLAC1,LHX1,AF124730.4,GNGT1,UNC5D
KRT2,RASSF4,KCNK16,GTSF1,ABCC11,hsa-miR-32-5p,TRIM40,FCRL2,AC053503.12
C9orf47,SEMA3D,CTD-2354A18.1,ARHGAP30,TMPRSS3,RIPPLY3,DSCAM,TMEM255A,DDX53
hsa-miR-210-3p,C17orf78,RP11-327F22.2,LGR6,TMEM238,RP11-456O19.2,LINC00595,TMEM72,ZSCAN10
RP11-374F3.5,SLC11A1,CDH16,MMP13,TPSB2,TFF3,SCUBE1,BTNL3,TMEM14E
hsa-miR-505-3p,CHAT,KCNK13,SOX14,SYT13,ARX,TBX15,CHRNB2,GHRH
CTB-133G6.1,ALPI,MAGEA6,DSG1-AS1,PDE4C,RBMS3-AS2,COLGALT2,SFTPB,AKR1B15
hsa-miR-3074-5p,ZSCAN10,BTNL3,TDGF1,CLEC3A,TMEM92,SFN,TMEM105,RP11-73O6.3
LINC01048,CHD5,ITGB7,hsa-miR-539-3p,FOLH1,DOCK8,AC004381.7,RXFP4,TPSG1
RP11-60L3.1,IVL,SOX15,GHRHR,BMP5,CHRM3-AS2,RP11-930P14.1,MAPT,CGB5
IHH,FAM178B,ISX,APOBEC1,PIGR,IQSEC3,ANO4,SLC22A12,GRIFIN
hsa-miR-451a,GSTT2B,FADS3,NKG2-E,COL28A1,GPR1-AS,RP1-76B20.11,SLC6A14,REEP2
hsa-miR-548v,ALPP,hsa-miR-106a-5p,C1QTNF9B,SFTPB,RP11-832A4.7,AC091801.1,SCGB1A1,ZNF556
KCNAB1,CREB3L3,CYP4F2,NCF1,CPA3,RP11-50I19.2,RP11-574F11.3,TMEM61,C8orf74
SFTPA2,SYNE3,LINC01522,PAX5,CST1,MYRFL,CTD-2354A18.1,LPHN3,RTBDN
hsa-miR-1271-5p,MUC15,CXorf21,WFDC12,VGLL1,CEACAM1,LINC01470,GALNT12,hsa-miR-6803-3p
SLAMF8,PTPRN,AC093642.1,hsa-miR-548v,NR1I2,TMEM213,ARMC3,SPACA4,SERPIND1
CACNA1A,GAB3,CPA3,SLITRK1,KCNH2,AC004381.7,AC021188.4,SEC14L3,TRAF1
MB,hsa-miR-1179,RETN,IFI30,MOGAT1,RP11-713C5.1,RP11-386M24.6,CASP14,SEPT1
SCG5,MAP4K1,CD180,MAP3K8,CLIC3,ZNF695,GP1BA,WNT3A,FAM65B
OR2C3,CD300LG,C17orf78,hsa-miR-15b-5p,PCDHGB1,AFF3,CD33,UGT2B4,CST4
hsa-miR-590-3p,WT1,ADCY5,BIN2,TMEM210,ANXA8,ZNF750,AC055733.1,MYBPC2
SAGE1,IRF4,hsa-miR-363-3p,RP11-734K21.3,PRLR,ERBB4,HPGD,ZG16,HCN2
hsa-miR-581,FSIP2,hsa-miR-1269b,IL4I1,ZNF750,RP11-350J20.12,AC009950.2,C9orf139,FCGR3B
AP003774.4,XKR7,RP11-272B17.2,XAGE5,AZGP1,CREB5,AC092198.1,SPAG4,F5
hsa-miR-505-5p,TYROBP,NEUROD2,RIPPLY2,HTR1B,TDO2,CHRNB2,FABP7,RP11-1152H15.1
C10orf128,IL12RB1,C5orf38,C8G,FAM159B,RP11-403A21.1,RP11-1080G15.1,CKMT1A,CFTR
hsa-miR-3655,PDYN,hsa-miR-486-3p,BPIFA2,GFRA3,SPRR1B,RP11-272B17.2,ULBP2,TTLL6
hsa-miR-16-5p,ADRA1D,LINC01180,DMBT1,WDR16,RP11-64B16.4,SPI1,AMH,GLYATL3
LGALS9B,ALB,SLC22A17,OR2B6,TYRP1,ZG16,PRSS51,GJB3,CORO2A
CR1L,C1QC,GIP,KCNC1,PTPRN2,TBATA,MUC15,HSD17B6,CD164L2
GALNT8,GIMAP6,KIF14,PCDH10,BTBD16,AC092198.1,SPATA13,SP5,ZG16B
KCNN4,HOXC13,PRSS3,HOXB8,SYT14,TRIM50,RP11-101E14.3,EOMES,PPBP
CTD-3064H18.4,MMP1,ARHGAP9,ZNF727P,PHF21B,UGT1A8,CDCA7,RP11-766F14.2,LINC00111
LINC01067,FAM83A,SEPT1,ELANE,KRT19,CTD-2555C10.3,SEPT6,ARHGAP9,hsa-miR-215-5p
TCF21,HEPACAM,RP11-244B22.10,CASP16,RIMS1,IKZF1,AC079779.4,RASGRP3,DQX1
RP11-126K1.6,KCNH6,RP11-1080G15.1,ALPP,LRRC4B,RP11-667M19.10,LINC00954,ADIPOQ,hsa-miR-144-5p
hsa-miR-130a-3p,PSCA,C14orf180,TTC24,SHD,SFTA2,CERS1,AIM2,C12orf80
RP11-1094M14.5,GNG7,SFTPC,CRYM,SPRR2E,RP11-761I4.4,GIMAP1,TUBAL3,DEPDC1B
KRT19,PALD1,hsa-miR-19a-3p,SULT2A1,PAX6,ATP2C2,hsa-miR-128-1-5p,LILRB1,CNNM1
hsa-miR-135b-3p,KRTAP4-1,VENTX,ZBED2,CA14,FLJ34503,MEGF10,ARRDC5,MLNR
ADCY8,CD1D,LGALS9B,SMYD1,SMPD3,AC079613.1,SERPIND1,MS4A15,DOK2
C6orf99,GZMM,MAPT,ELF5,PIH1D3,AC144450.2,hsa-miR-144-3p,PLP1,NMUR2
hsa-miR-184,SCEL,hsa-miR-4683,TMPRSS11D,SEMA4G,RP11-700H6.2,HOXA10,SEPT1,ANKRD30A
hsa-miR-628-3p,RP11-321N4.5,FAM3D,GPR45,HMX3,DRGX,LINC01522,PSTPIP1,SLC18A2
hsa-miR-424-5p,hsa-miR-454-3p,PRODH,SDC1,APOL5,NTRK1,RP11-147L13.8,CD6,C3orf27
KLHL6,AIF1,RP11-456O19.4,TNFRSF9,HMP19,TRIM46,RP11-390F4.6,RIMS1,CTD-2066L21.3
RP11-495P10.8,CLEC7A,SYCN,HAPLN2,TMEM114,SCIMP,hsa-miR-6803-3p,EVX1,CLDN18
KLRC4-KLRK1,PADI4,RP11-400N9.1,SLC27A2,PROM2,GPR55,PSG9,UGT2B28,KCNC2
NMU,PITX1,HBA1,ALX1,CXXC4,RP11-386M24.6,PTGDR2,TACR2,DCX
FENDRR,RNF166,ZNF716,CPN2,GPX2,IL31RA,hsa-miR-133a-3p,APOB,XXbac-BPG181M17.5
hsa-miR-503-3p,VAMP1,CTC-457E21.9,BPIFB4,HP,NXPE1,SLC7A14,ADCY5,MST1R
hsa-miR-1301-5p,CCKBR,LINC01269,CWH43,DSCR8,CTD-3096M3.1,ARRDC5,CIDEA,PLP1
TCN1,NPBWR1,SLC37A2,ALDH3A1,SFTA2,ADIPOQ,SIGLEC11,SH2D3C,FCRLA
hsa-miR-1976,ACSM5,SPATA13,GPR142,SOX15,CASC8,EGOT,VSTM2L,UGT3A2
CHRDL2,NXPE4,CTD-2555C10.3,CALY,PRLHR,OR52W1,CLCA2,DES,SLC22A17
RAPGEFL1,KBTBD12,TNNC2,REEP2,SLC22A18AS,AVPR1B,OTX1,RAB42,CTD-3195I5.3
APOBEC4,HMOX1,APOA4,TM4SF20,CELA2B,MIR155HG,MAGEA3,NAIP,PAX5
TMEM114,NAIP,RP11-771K4.1,NEB,BMP3,HIST1H2BD,ADCY8,PARP15,DEFA4
AJAP1,MET,SYT8,MTRNR2L3,TTBK1,SLURP1,CTD-2587H24.5,SFTA2,AC007563.1
PCOLCE2,GIMAP1,LDLRAD1,PCDHB5,CMBL,ANKS4B,AHSG,NUP62CL,RP11-118A3.1
hsa-miR-139-5p,LILRA4,hsa-miR-181b-2-3p,S100A2,GJB6,MIR2117,TMEM132C,XKR3,HS6ST3
C10orf105,HSD17B6,AJAP1,ITLN1,DAW1,CRTAC1,hsa-miR-31-5p,IL12A,ASPDH
hsa-miR-26b-5p,UGT2B4,RSPO2,TMPRSS6,F10,KCNAB2,hsa-miR-892a,EVI2B,SEPT6
RP11-347P5.1,MYBPH,FCGR3A,CCR2,SAPCD2,TRIM40,BPIFB2,FADS3,ALX1
VAV3-AS1,SLC9A5,CLPS,HLA-DQB2,LRRC15,FAM99A,RP11-402G3.5,GYPC,SCGB2A1
RP11-277P12.20,HMGCS2,RP11-470L19.2,PIP,FGF19,GP1BA,OASL,INSL4,ITPKA
RP11-80I3.1,CXCR6,hsa-miR-194-3p,KRT13,HIST1H2AE,LINC01224,OR52W1,CD37,MT3
AC013275.2,hsa-miR-200a-5p,CLEC3A,PPL,SLC44A5,TDRD5,LRRC53,SOST,TAC3
PDZD3,TMEM255A,RP1-232L24.3,CNTN5,ZNF695,RNF166,RP11-268G13.1,PAPLN,ERBB4
hsa-miR-627-5p,CHI3L1,RASAL1,TMEM26-AS1,C1orf189,GYPC,PRLR,IL13,ATP10B
STEAP2-AS1,PCDH8,CLCA2,FAM132A,USH1C,EMR2,PSG5,IGF2BP3,PDE4C
HOTAIR,TMEM105,GPR17,PIWIL1,HIST1H2BO,EDN3,HMP19,PHOSPHO1,CDHR4
CGB,FAM153B,RP11-53B2.5,LRRC66,IL31RA,RP11-714M23.2,RNF144B,KCNAB1,hsa-miR-1251-5p
hsa-miR-3614-3p,GRIA1,TCN1,CEACAM3,FMN2,RP11-416N2.3,RP11-503C24.6,FUT7,HOXA5
hsa-miR-670-3p,CLEC1B,RP11-30O15.1,CD2,RD3,hsa-miR-155-5p,RP11-218E20.3,DTHD1,CNTN5
hsa-miR-7702,LHX1,CRISP3,TMEM145,S100A14,RP11-756G20.1,PI3,CD79B,RP11-414J4.2
hsa-miR-552-5p,CEACAM3,GP1BA,GPR148,KCNH5,C11orf86,RP5-1091N2.9,TMEM45B,A2ML1
SERPIND1,NCMAP,ZNF695,ZG16B,PSORS1C2,SLC39A4,RP11-644L4.1,WDFY4,PPL
hsa-miR-1269a,ADCY5,WDR87,S100P,DHRS2,RAB42,VWA5B2,RFX6,MTUS2
hsa-miR-4726-5p,RIMS2,BPIFB1,LAT2,CDHR3,KRTDAP,CTD-2370N5.3,HMP19,HLA-DPA1
RFX6,hsa-miR-32-5p,TEX19,TM6SF1,CHST6,FXYD3,RP11-53B2.5,VSTM2A,RP11-407H12.8
CCDC42B,hsa-miR-146b-5p,HSD11B2,PAPL,GPR20,PTPRZ1,CDHR1,HIST1H2AM,LHX5
FGD3,XK,OVAAL,GRIA1,YBX2,ZP3,IL6,CST4,GPX2
RP11-734K21.3,P2RY13,RP5-1071N3.1,RP11-96H17.3,LYPD3,PABPN1L,AC067945.4,SNX10,MS4A15
C1orf200,ZNF831,PRLR,CARTPT,CEACAM1,SH3GL2,hsa-miR-3920,KIAA0125,RP11-81H3.2
CCKBR,RP11-20J15.5,EVX1,KNDC1,STX1A,NLRC3,OFCC1,DOCK8,TNF
