genhits,HATZFS,HWVoteRank,IDME,imaxdriver,NIBNA,Pagerank,RDDriver,LPDriver
AIM2,hsa-miR-6810-3p,hsa-miR-196b-5p,PTGES,RP11-95M15.1,CDH12,SLC6A18,hsa-miR-31-3p,ITGA3
PCDH11X,ZG16B,MAPT-IT1,LRRC10B,CTD-3187F8.14,C17orf78,PLEK,hsa-miR-1537-5p,EMX1
IQSEC3,PRODH2,RP5-899E9.1,MAST1,RP11-367J7.3,CFP,SLC5A10,hsa-miR-500a-3p,ZNF750
KRTDAP,PLA2G10,LINC01207,ALK,TG,ALOX5AP,SCIMP,hsa-miR-146a-5p,SULT1E1
CTB-49A3.4,SULT2A1,FOXH1,PBK,TM4SF4,FERMT1,hsa-miR-130a-3p,hsa-miR-20b-5p,C6orf222
RP11-73O6.3,hsa-miR-511-3p,PALD1,LRTM1,MYH11,RP11-766F14.2,hsa-miR-590-3p,AC104024.2,FCRL2
TMEM45B,FAT3,VWA3B,LIPF,CA2,MOGAT1,PAX3,CTD-2509G16.5,FP325317.1
RP5-899E9.1,CD6,hsa-miR-223-5p,IL1RAPL2,GRM8,FAM26F,TFF3,RP11-556E13.1,PARP15
LINC01207,AC007381.2,AIM2,PLG,CPA6,FCRL1,KIAA0125,hsa-miR-139-3p,GJB6
TNS4,hsa-miR-215-3p,NKX2-8,KRT73,TERT,RP11-12J10.3,MYRFL,hsa-miR-140-5p,WDR72
RP11-386M24.3,GPR45,TMEM238,MGAT4C,XPNPEP2,LY6D,ADIPOQ,P2RX5-TAX1BP3,CYP2W1
CAMP,hsa-miR-934,SIGLEC5,C1orf189,ATP2B2,hsa-miR-223-3p,hsa-miR-887-3p,RNF39,LINC00643
PMP2,hsa-miR-135b-3p,hsa-miR-4665-5p,SLC44A5,HIST1H2AC,LINC00858,SLC17A6,CXCL5,BTNL8
GALNT5,CPS1,CAMP,F10,CTNNA2,VTCN1,HOXB9,NOX1,GP2
LINC00996,hsa-miR-192-5p,RP4-536B24.3,APOL5,MMP28,FAM101A,ZNF578,JSRP1,PEG10
ZNF560,hsa-miR-670-3p,ABHD17C,CHI3L1,ARHGAP36,ANO4,hsa-miR-548v,TH,CHRDL2
KIAA0125,BMP3,hsa-miR-30e-5p,SMPD3,NXPH1,LINC00595,HAO1,IFNE,GABRG3
CLEC17A,TMPRSS11D,KRTDAP,LILRA1,PRPH,PDLIM3,NKG7,TEKT1,UPK1A
LINC00589,PRODH,hsa-miR-155-3p,SLC9A5,NECAB2,SFN,LYL1,CDC20,SOX2
DNAH11,RBP7,hsa-miR-6815-5p,TREML2,GPT,RP11-1079K10.3,TAC3,PDE1B,ATP4A
ASB4,hsa-miR-7-5p,CTB-49A3.4,SEMA3D,DPP6,SELL,HOXC11,ANKRD44,UCP1
LINC00173,PCOLCE2,hsa-miR-18a-5p,PLAC1,SMIM24,TNNC2,hsa-miR-103a-2-5p,NKX6-3,LA16c-380H5.4
TMEM52B,SMYD1,CELA3B,NPY1R,SCIN,GNGT1,PTPRZ1,NLRP12,FAM83A
KLRG1,PTPRN2,hsa-miR-605-5p,GOLT1A,COL6A5,ARHGAP4,TMEM229A,C17orf77,HRH3
NKG7,hsa-miR-767-5p,SLC39A5,CCL24,SPINK14,ZNF730,TRNP1,SFTPC,SLC11A1
RP11-285E9.6,hsa-miR-184,EVI2B,HLA-DOB,UGT1A7,LINC01522,KCNA7,BANK1,RASGRP3
APOH,hsa-miR-3614-3p,hsa-let-7g-3p,CMA1,WNT4,C1QL1,ABHD17C,LPXN,MT4
CTD-3096M3.1,CCL3,TMEM45B,MAS1L,TEX15,FAM83E,hsa-miR-628-3p,NPY4R,RP11-96H17.3
CTD-2589M5.4,hsa-miR-1180-3p,GC,SCML4,WNT10A,SCUBE1,FOXH1,SYT8,VWA3A
FLJ34503,hsa-miR-3920,hsa-miR-6502-5p,FBLL1,MGAT4C,HPR,GTSF1L,SYCN,hsa-miR-486-5p
RP11-93K22.13,hsa-miR-1251-5p,ITGAX,CENPF,HCAR1,AC098828.2,TNFRSF13B,RAPGEFL1,KLHL30
FAM153A,SIGLEC1,LINC00589,PPP1R17,SH3RF2,CNTNAP5,hsa-miR-486-5p,CTD-3138B18.4,CSTL1
LINC01447,PPIAL4C,hsa-miR-497-3p,hsa-miR-22-5p,ACER2,SLC22A12,hsa-miR-184,TAS2R13,TTBK1
RP11-346D19.1,FCRL3,hsa-miR-4772-5p,VILL,KCNE3,CLRN3,MFSD2A,DEFA6,PAX3
ABCD2,PDZD3,NEK2,MISP,CACNA2D2,RP11-327F22.2,hsa-miR-451a,SFTPA1,KL
LUZP2,NKX2-1,hsa-miR-210-3p,HLA-DPB1,GRAMD2,CACNA1C-AS2,EVI2B,TCF21,PCOLCE2
HS3ST6,LIPK,CDHR4,DOK3,ISL1,HBA1,RP11-1191J2.5,RBP3,FCGBP
RP11-863H1.1,BFSP2,hsa-miR-335-5p,GRAMD1B,DACH2,PRUNE2,TGFB3,AOAH,CEACAM20
RP11-415C15.2,SPRR2E,TMEM190,GRB14,FOXD3,CYP24A1,hsa-miR-3690,RIIAD1,KLHL41
ATP2C2,TM4SF20,KLRG1,MEFV,GPR149,C17orf77,hsa-miR-191-5p,MTNR1A,KLHL1
RP11-761I4.4,KLRD1,hsa-miR-891b,ECSCR,OR2B6,WDFY4,C6orf223,OTOGL,PTPRN
MYOCD,PSAPL1,RP11-626G11.1,PSTPIP2,PHACTR3,RFPL4B,hsa-miR-139-5p,AKR1B10,ABCG5
TCEAL2,SPIC,CXCR6,CLEC1B,MMD2,ANKRD30A,TMEM45B,TIGIT,EPHA2
UGT1A8,KNDC1,ZNF560,LY9,NGB,INA,PIK3R6,OR6K3,CTAG2
RP1-77H15.1,LBP,PRAM1,SMOC1,HEPHL1,SFTPC,NKX2-8,SCG5,ARMC3
AKR1C1,MS4A15,DNAH11,CTSE,C3orf30,RP11-449D8.5,hsa-miR-95-3p,SYT14,GHRHR
BACH2,hsa-miR-124-3p,MIR2117,KCNMB2,PRB1,EEF1A2,PLA2G12B,CNGA3,RP11-405M12.4
RAB42,CREB5,hsa-miR-6810-3p,PDYN,NOX1,hsa-miR-4787-3p,RP11-863K10.2,ARHGEF16,ACTL6B
LHX1,GPR148,COL28A1,STX16-NPEPL1,AREG,B4GALNT2,DEFB132,DUOXA1,RP1L1
RP11-1055B8.9,MYOCD,TMEM52B,GAB3,OTC,AJAP1,KLK6,UGT1A6,SMAP2
RP11-1036E20.9,SMIM5,RP11-131H24.4,CPA6,LGALS7,FUT7,AP006285.3,BMF,HYAL4
NLRC4,hsa-miR-31-3p,hsa-miR-4632-3p,P2RX2,GPRC5D,GRIN2B,PLP1,CELA3B,TIFAB
IVL,TMEM72,CPS1,KCNB1,FOXD1,SBK1,CDHR4,ALPPL2,hsa-miR-192-3p
AC093627.11,SPP1,AFF3,HMGA1,FAM83D,CRISP3,SMIM22,TRPM5,SOX14
RP11-1101K5.1,PCDHB5,BACH2,TREML1,UCN3,SLC22A9,LUZP2,C2orf54,PAX9
